frame,pessoa_id,confianca,x1,y1,x2,y2
0,1,0.8864,2193,258,2691,1650
0,2,0.8106,721,382,1129,1845
0,3,0.7452,828,603,1436,1859
1,1,0.8685,2164,254,2657,1646
1,2,0.8124,721,382,1129,1845
1,3,0.7601,836,603,1436,1860
2,1,0.8724,2141,251,2633,1650
2,2,0.8115,721,382,1130,1849
2,3,0.7461,829,602,1436,1861
3,1,0.8641,2114,257,2612,1652
3,2,0.8109,720,382,1132,1848
3,3,0.7404,823,603,1436,1862
4,1,0.8642,2092,262,2575,1645
4,2,0.8168,719,383,1130,1850
4,3,0.7645,840,603,1435,1863
5,1,0.8814,2063,266,2561,1645
5,2,0.8205,719,383,1131,1850
5,3,0.7759,842,604,1434,1864
6,1,0.8796,2033,274,2532,1644
6,2,0.8212,718,383,1129,1849
6,3,0.7953,852,604,1434,1863
7,1,0.8818,1986,275,2511,1639
7,2,0.8209,718,383,1130,1848
7,3,0.7977,854,606,1434,1863
8,1,0.8747,1953,281,2495,1639
8,2,0.8221,719,383,1129,1848
8,3,0.7962,857,606,1435,1863
9,1,0.887,1931,282,2486,1645
9,2,0.8228,718,383,1130,1849
9,3,0.8026,857,605,1435,1863
10,1,0.8939,1919,281,2479,1645
10,2,0.8234,719,383,1130,1849
10,3,0.7998,857,605,1437,1863
11,1,0.8963,1909,277,2456,1638
11,2,0.8229,720,383,1130,1848
11,3,0.7994,857,607,1437,1863
12,1,0.889,1890,271,2419,1647
12,2,0.8191,720,383,1131,1848
12,3,0.7943,853,605,1437,1863
13,1,0.8739,1864,261,2338,1614
13,2,0.8129,720,383,1131,1847
13,3,0.8035,859,606,1436,1864
14,1,0.8759,1842,255,2313,1605
14,2,0.8129,720,384,1131,1846
14,3,0.8122,862,606,1434,1866
15,1,0.8624,1820,249,2288,1596
15,2,0.8128,720,383,1130,1847
15,3,0.8097,863,610,1434,1864
16,1,0.8659,1798,241,2272,1608
16,2,0.8129,720,384,1128,1850
16,3,0.7828,862,607,1435,1867
